RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2695.059878851454,2711.9008545877755,2725.1700371001252,2739.5534608329554,2746.648742730745,2754.0364565900923,2759.3333573620234,2767.0318262731585,2776.637889739794,2785.948948718635,2792.750914005213,2797.5419923823947,2798.741233186662,2800.617268156255,2800.265213213496,2801.567435774944,2802.784766862939,2805.3491223657434,2810.1387382508246,2812.7764860660745,2816.174843658452,2820.788228227329,2827.6073291413572,2826.514525310128,2830.3173067647685,2828.1751534324576,2833.728938911824,2831.685545496435,2837.1476559933944,2840.7263020986916,2843.5505677407987,2844.2641156792756,2842.028336205639,2838.0839016934674,2836.2050084434727,2839.8179662453185,2846.8140826558633,2853.2746062244364,2859.4552327204774,2867.152840960759,2872.271848560002,2876.497082902962,2881.6396317921576,2888.745649551392,2897.145408353312,2902.407759936206,2910.2929624452454,2917.6767578401095,2924.37844133397,2929.7428993531366,2934.6785366667,2942.3271092126033,2949.174153143961,2957.9619707570846,2966.7086241571037,2975.9164958014285,2985.988398700252,2999.6813739496856,3010.7151674556635,3021.811798928656,3031.674482373021,3044.8772845769204,3036.1231043199373,,,,,,,2672.7856683321993,2652.098570414666,2647.6151793887598,2645.5649097605556,2651.152109441518,2666.263971774941,2694.2227515883756,2734.5451614054646,2787.4180042483013,2853.311006410095,2928.133902168971,3005.044554266232,3066.5156148257934,3132.2833668507924,3182.3294301995197,3228.403094542607,3264.0849851388207,3298.362397375851,3330.048838143774,3362.6283922421962,3395.5419211650187,3422.4666817415214,3445.201914552501,3457.7007498617177,3466.7916014116054,3472.9638450743305,3483.832423849365,3497.4548493262364,3513.730927837474,3527.101238050631,3538.810298156579,3545.1204659984696,3544.855066107016,3540.0657595985076,3535.0307735104975,3535.6253809139457,3541.318724511046
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1924.2152543814682,1934.8761206613842,1945.4309029663227,1956.8266653752896,1972.4050305065598,1982.7420068387662,1997.9868357730884,2010.643407932158,2031.2397438252656,2045.3135587407573,2059.4112528953046,2070.163458105401,2081.592212424154,2095.904975306912,2104.228522950022,2112.5126324197245,2123.0343888655057,2139.812180692357,2149.4936953734577,2149.9282777627354,2151.5867395582327,2158.8238367552135,2166.50167202249,2173.5100087300825,2192.9059099610754,2207.816223374987,2233.4111387758226,2240.799924367342,2251.306184979984,2255.8683189882095,2266.0531435556522,2277.617875288111,2284.396474058544,2295.824436604161,2307.878283399882,2322.08248127081,2327.843806949956,2339.175544212778,2340.929519863219,2351.7768823060233,2356.0228383552894,2368.3152296037892,2378.4907935955002,2392.0436359077253,2404.864151763326,2413.448561973029,2422.0880700853986,2430.0845969347897,2436.9064751502474,2438.702067329892,2445.366730274392,2453.973284227637,2465.2517330477644,2471.6980107572967,2477.9354431405623,2482.5054670635814,2489.0823867980616,2495.196041590083,2500.491256235038,2505.1601112520334,2511.9795181358027,2520.4710584719082,2512.0715131061174,2500.807689375384,2483.9645334150237,2468.0788838166177,2454.3224302677418,2439.576936259457,2427.9162081820145,2423.7474007821993,2425.9577398057872,2427.2547869991986,2427.7973207217933,2427.8502838486543,2436.361036222213,2447.37788750743,2467.2921712414513,2494.411005829121,2529.4682024394806,2571.446551624782,2607.671646991225,2640.2692212155107,2666.7766982059184,2694.8998068110755,2722.629112653582,2746.8447343747403,2767.1904759716344,2786.8619005576465,2812.8700619530837,2831.1899480372526,2846.3077710827965,2851.999974028468,2860.388761221668,2861.055386724754,2868.2354740528694,2874.042648651005,2879.7382402188996,2887.6009898734283,2894.670073793912,2901.1374050273,2897.4621364722275,2894.48043296515,2887.971084409599,2883.992321565689,2879.029071983603,2878.6302654376727
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1237.614555796701,1240.8659354750275,1242.984337129025,1243.944068415978,1244.0982896921603,1248.508526866263,1251.0852866964563,1255.627226350932,1254.342277534083,1257.757376114992,1261.7059502407574,1265.9633727627677,1266.4574671443893,1262.7328000515984,1263.0684807919686,1262.3287328568965,1260.6320560705976,1258.767994712205,1258.9684706482528,1259.6816543102527,1256.505648590512,1249.6779011287517,1240.6955611447454,1235.1154240732965,1242.676055947639,1254.2575262051582,1266.5349920551878,1265.2218197036602,1268.499272904735,1266.1291748677459,1268.0051380209209,1266.8731914004484,1278.9912811810143,1292.3305227094352,1307.7857556120496,1319.7242819555454,1320.4879297102875,1324.030856240409,1318.05318287637,1323.4571549202024,1320.5774085488424,1324.550030812838,1325.1419929197236,1327.84800592435,1328.163323224646,1329.3775514405563,1332.6142275506595,1331.6817193781806,1332.8501107793074,1327.7866643373814,1332.195362653215,1334.9122852063097,1341.8473425351644,1346.125010729229,1350.5053768660034,1354.5322894349958,1354.779988759126,1354.5332131531109,1352.4125890056553,1354.8059020420717,1358.6196917162133,1365.3079955193134,1374.3020937100182,1369.0870706398048,1357.4651178966649,1343.44724796666,1341.168213583102,1341.090671923796,1343.8786529842625,1348.0958320038517,1353.7494531254843,1355.6332361519808,1355.3666702303128,1350.716215567763,1354.8844864742591,1365.8676555488823,1385.4682594282528,1408.5308022651313,1429.546748209096,1450.3556434135885,1467.0838371219124,1478.7152478107262,1487.8721117698926,1495.5562333188084,1504.3604417727,1514.5722429005941,1522.4778525354282,1530.8946137443595,1536.756595361343,1542.6201389132327,1545.9285875758937,1549.9005694408258,1551.0512705758028,1552.4017781308448,1558.5476444118447,1566.2785060141484,1573.943901486902,1581.4991477305189,1586.5630471412483,1589.179135539712,1589.9657108297672,1589.3490467252836,1589.1573079725267,1587.9366364244079,1590.08666945927,1593.8735613348301
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1511.3775692691063,1512.2827445863945,1516.9223830955102,1521.8597992613436,1527.732721851324,1529.6442526617454,1533.2543744977163,1537.7519967961075,1542.9966195783782,1549.9537644517964,1557.4348719214609,1562.758878286667,1567.606097664917,1568.198111991656,1570.788405046208,1571.361959667506,1573.5245799525833,1578.6330995556484,1585.056134977131,1592.8978906841194,1596.0545925510717,1595.3034281705936,1589.584105572756,1584.4820961272683,1588.4643582657127,1598.6814506503595,1610.5294744351734,1614.6493894427533,1617.8568962693537,1617.7651896412485,1618.2496354702082,1615.8436570941074,1619.112671775035,1622.4788232265935,1628.1772026347028,1634.018262884042,1635.8298113369945,1638.7701134580777,1637.2879427748362,1640.4797202101624,1643.4092153312538,1648.2562158582198,1651.3675946684007,1651.7002852929943,1650.9150559989623,1652.7614749823483,1658.7805741059105,1666.7207085325822,1671.3690281317479,1673.3879545569735,1676.59784177268,1680.4362690244059,1684.6590908025883,1688.537060430374,1693.2957408509674,1701.3554704676926,1708.5059999079535,1714.368023701335,1716.9097559065801,1717.913056051664,1721.7342549577122,1726.010570313257,1730.1292244488966,1716.684467128163,1702.530725594675,1690.7564519310008,1684.994328963039,1677.0287481289652,1667.9436015892356,1654.3185756818261,1644.0503366081546,1637.7418389098582,1632.2283319726243,1634.3130275918204,1644.2290506275067,1666.791263784765,1687.754989718421,1706.0147405432165,1719.9555395929226,1734.9044129263982,1749.956120356756,1767.2205602453053,1781.5742892134194,1797.6839649259696,1813.3746283285213,1828.0288672742904,1840.6842385156317,1851.3426691159955,1860.6232089360706,1868.6258817726618,1880.3487213253225,1889.2774888415247,1902.0541869470958,1916.1317235599402,1930.4799699216035,1942.0555665506333,1952.9423743520044,1961.0515730156478,1967.1757914864945,1970.6839956892225,1976.4469123850859,1984.2385626079326,1989.9571456540841,1997.396408054677,2001.5249662516103,2003.9202753584607
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1014.9377921183097,1017.6203826895758,1021.077105521867,1025.0947794937538,1029.7981668695772,1034.1970799804817,1036.415239878168,1036.7473431502237,1040.272621863452,1047.803138841079,1053.8820300418574,1057.826137628138,1058.5707740854257,1060.1530889267267,1063.5633294519246,1067.4958703203988,1070.3317574509085,1069.6573620680265,1071.9969723203142,1076.1470174381816,1080.780477241743,1080.8193866417441,1082.4432039341777,1085.5939073298377,1094.267934919718,1099.7077012258903,1103.4167826361534,1103.7879815478918,1105.8039460160485,1111.6597474660534,1114.267479346079,1113.6580505594152,1112.3381003164561,1113.1851557259854,1116.095708945368,1120.0744055396424,1121.4410162503464,1123.610609376253,1125.4163195280448,1128.8657093423487,1132.5673615195487,1135.5164406608883,1140.1132704100435,1143.7623741942757,1146.4399585449125,1150.6895969248385,1156.6788396193276,1159.3219928906049,1162.2648652380326,1164.2785911805693,1167.9209312527662,1171.8582715046684,1175.0282620319385,1177.6592773143009,1180.0235503723875,1184.368980209442,1189.570479385455,1193.315341133627,1194.4091342466174,1197.3297284812827,1200.2697392372102,1204.187073903562,1205.576913730008,1203.195468292462,1198.8164152666557,1196.0374578278208,1196.7650373198292,1197.7779624398217,1200.4629152717716,1205.4102442498165,1214.1435183525673,1221.3408644124997,1224.650388375112,1227.9316529340376,1232.7496325588659,1246.501994823752,1261.7094651399536,1281.4349560944374,1300.834731800272,1323.4385861997307,1344.714459076272,1362.3627975917377,1375.1367028072132,1386.0429037928552,1393.3706531334265,1403.6934392238338,1413.0313065651671,1424.0792044170742,1435.4144810873076,1443.7248395744946,1451.0947375456788,1450.240110228388,1449.3524471207584,1446.5544217266884,1449.9158477633703,1454.1577714217183,1462.3502505883919,1466.7535443147897,1471.033888176945,1469.1834799103956,1465.9379546616033,1461.475626028261,1456.4858359859488,1455.2307758060688,1453.6254193989855,1454.0045684088861
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1218.1579552038886,1220.760802206523,1229.9276322326477,1230.7903372473604,1236.7465022917343,1237.4261622991592,1243.8822028507245,1245.289550289925,1248.259442641922,1255.005328678405,1255.2583163029065,1256.6123946558614,1250.473071650617,1259.238121363273,1262.0875640860368,1270.0475577766588,1272.439095350311,1277.5809663799482,1279.993695365424,1283.6817265163586,1284.2425696893479,1283.4592660580643,1290.371053132174,1295.0848424226235,1303.1651044258924,1301.451289996606,1305.568840517087,1307.2450395255958,1308.8852108199283,1309.2821543862892,1312.6570418556162,1316.7995610756159,1322.499156915962,1325.3129688085476,1327.045008984587,1332.3236962065669,1335.4849561974136,1340.4921841954701,1342.1320427744158,1346.4942957425178,1351.7593360679987,1354.3100570613528,1355.3594582696223,1358.6306336055216,1363.8448186786943,1372.3274226541978,1378.9940489646156,1379.9558884236167,1383.384636147007,1386.4221557942706,1391.6955660817614,1395.2830534123116,1399.2407261242672,1405.5560353068859,1411.9777611294746,1416.1972285924903,1418.7640266433136,1420.3775254281152,1422.6244309650565,1427.9788975414967,1432.1384272705563,1437.2862742074367,1438.8669247398946,1436.2698449732052,1432.0382240393728,1430.0074310027724,1431.4119347325966,1430.3468148346824,1429.49775716451,1429.7341150190177,1432.569514734615,1434.7977946862181,1435.2267660804082,1438.5849669838983,1443.9017549100245,1455.8134252545005,1469.635187891108,1482.2041429888873,1494.0328225925105,1507.989654060811,1521.0949823536985,1532.8606732794162,1543.197230871021,1558.4187342809705,1569.097253154003,1577.8402024859627,1583.3947830575678,1591.0914719091575,1600.0878464690513,1609.7792354698722,1615.3881073463879,1619.0877481352218,1622.181124216136,1620.4576333497637,1624.9398404652486,1625.1875928999739,1630.3348096930542,1635.1823136917346,1642.123732600636,1644.615515861014,1645.3367964933734,1645.5458811263734,1648.4471519429212,1652.2073748848477,1656.8124608099715,1665.4690142387217
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,910.0554455172828,919.1888628736135,922.3641518927632,930.1158253938123,931.0676059806726,935.8146188867693,937.7311818197941,944.1576625793716,950.9834007050686,956.1412161354568,962.3410940306298,966.0236059704396,973.3649914399497,975.540631735634,981.1515607956139,984.952253350094,992.4043776614964,997.3490041559922,1000.4452225948836,1002.4805541026623,1006.4346158604168,1010.3100920969418,1015.8397779826627,1020.9111006886895,1026.885334437806,1033.045832634358,1039.8727017380186,1046.7332815630607,1054.6688114834344,1060.4226765058002,1065.8249033210807,1070.3928288844397,1074.4191435391024,1082.259350046959,1086.5538846091908,1091.766452412851,1094.794231842875,1101.0949763674623,1109.6321755384022,1116.0405379718516,1123.7057758271967,1129.9126348344303,1139.4174638927307,1148.37729770404,1159.310048331074,1169.166924534744,1177.975877954831,1186.035749567749,1191.1861762279595,1200.2343033979344,1206.0126950663766,1214.104816018328,1220.3836044810275,1229.8090315563081,1237.5869952375515,1246.673630424662,1254.2868836294124,1261.1115458653276,1270.5592747362393,1280.6612155335454,1294.3106884016552,1303.5556677626707,1308.7645546758208,1308.2799662069326,1305.044204254666,1304.0303324562547,1308.6087203546404,1323.5288672778104,1336.6893570607847,1352.3522513517435,1363.1933386747712,1378.0006599641563,1393.2470959942166,1408.6319931963558,1429.1873275601936,1458.7944738943747,1497.7220558474603,1540.3911856051939,1582.9260748594847,1622.2355757996381,1655.9881228518057,1681.5978167592386,1703.6043435543888,1721.7364229894474,1740.4647990352635,1753.7399645021294,1764.8334264610592,1770.684641258167,1774.8102400837877,1778.6177234088575,1779.0964820800764,1775.1931668692043,1770.3973395824632,1769.8461882290662,1774.623667053474,1778.802023229847,1780.4924836410603,1785.6835123161886,1789.248872999127,1791.498069691329,1789.3091535487101,1783.7805719353087,1778.8310884700707,1775.606077525585,1775.5063815495048,1774.5938230220293
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1018.9842636707176,1022.4029826186942,1025.1777011777563,1029.720028676833,1033.805467166082,1036.856993375496,1040.3856114068647,1044.6894794010586,1050.6581493733897,1054.0600160472322,1057.7838904535195,1061.0214480301038,1064.8336641264605,1067.5493770803046,1069.6572143201163,1072.9927013773474,1078.7875676225217,1086.8996216102705,1091.1340507949271,1093.9157987095157,1095.7899782943828,1100.8229577915417,1104.75219623041,1107.9853508154679,1114.7018600473118,1121.644987224964,1129.307000124238,1131.9724184267095,1134.927775016976,1139.5475216788454,1146.0048971388746,1153.0389008906157,1159.143736131952,1165.1439567232658,1172.057782084257,1180.6662215380702,1186.3732058137603,1193.4049416861553,1198.8881175912002,1209.149530206372,1216.3437944039754,1222.5083022788567,1228.6537739231146,1235.4239154522036,1244.355200348182,1251.23618759643,1258.1543301079064,1265.1105733642853,1272.699178509566,1276.9462083033075,1283.6122429311993,1288.7320890410945,1295.6042141668586,1301.8938024291208,1308.0135634690196,1313.5361989755236,1317.8767550529567,1323.1653184481406,1328.0525362352632,1332.039254766809,1336.0879604494196,1341.8903157864638,1349.2213074610368,1345.4689169448668,1337.08015416568,1331.0327277524866,1338.3211428645748,1348.4016975182074,1364.7408011870557,1382.385321421252,1400.3873275362184,1416.2103236835967,1430.8520464512012,1446.3388567426687,1462.8065794621414,1487.8674459087345,1524.9223798536118,1571.9412295211032,1613.9536921103877,1659.7604501420801,1695.6484866277126,1727.449293968064,1744.7145036733664,1761.4440797624468,1772.915734292684,1784.8034266615205,1791.0374455119882,1797.804804634377,1801.435515617095,1803.8136332857168,1804.00436608581,1793.5651034643213,1783.4145985766909,1762.1802580998751,1762.7690794232049,1764.208317664516,1769.2957170523887,1771.8096306422892,1776.867624200337,1778.184927351814,1775.2890150162968,1767.0040868899787,1759.7576413420231,1757.7105084991204,1759.0240860530816,1769.9823808873437
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1799.7283438335564,1809.1449093399192,1815.3405874495077,1816.5918438291876,1824.6864390862902,1829.5551797123944,1842.9798873607715,1856.9750176380203,1869.0081759413722,1879.6165016947152,1886.8375330029032,1900.4146708506987,1908.8929688760586,1914.7323289313058,1920.6454739624353,1927.0167100011147,1934.9454368823433,1948.0722643449612,1955.987766312653,1960.9158546726073,1963.5844518220918,1975.7279247548627,1987.5910896377584,1995.9057643153176,2002.7776732524087,2016.7273409318127,2032.339016115358,2048.16627175119,2057.4050588725804,2067.482375521416,2077.469060541878,2084.2976135516647,2091.6987190765462,2095.121545404438,2107.377417815515,2113.407426627445,2126.3328434088344,2136.3353635330022,2148.6038852952347,2157.0445100611105,2167.5633255514836,2174.214895767465,2181.816320755147,2189.9528029894086,2202.424030081151,2212.374389940146,2214.434428549629,2223.137359267148,2228.187024151176,2235.2246417398014,2237.292634241602,2242.4291263560103,2248.7223357290877,2256.580230367534,2264.4615484109218,2274.00166943963,2280.246859399698,2288.3320700313056,2298.1247012580816,2306.4346635978723,2314.5882595161693,2321.2751909438116,2321.003270597499,2308.445776679831,2295.875730947907,2284.090514984486,2285.9006643851512,2284.2877333681704,2291.277070961769,2308.3855626944573,2336.4240302648213,2355.204587889725,2374.2520615172466,2387.070904657631,2409.882170237102,2438.2617333244716,2470.707912805923,2509.5277318180465,2550.9567684282706,2603.0210390874595,2661.797015637766,2709.171854971268,2752.8820207541225,2787.842860540294,2815.067556138491,2851.5943366502815,2883.5068986791725,2924.41342989036,2952.6106387061523,2980.5415498446737,3001.796799415855,3024.6264074043474,3034.2476855776954,3039.2005876037074,3042.8330168567268,3056.8189502357745,3076.833686988487,3091.943117170682,3105.1312080592265,3108.9916117601565,3118.6559166446204,3122.407847299955,3124.604689864867,3118.355002218371,3114.9506358312046,3116.924260374089
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1086.4054361620779,1091.3656546160819,1096.9581729491986,1103.1726418161506,1112.5978507708382,1119.0347469631038,1126.0909049026109,1129.7222445800069,1135.1952363204107,1144.2638253367936,1155.3489302512198,1165.0178718623222,1165.9071266032201,1169.4432328457622,1169.525205041973,1177.4091687246148,1177.8233655087424,1184.733941185137,1187.4001055048543,1194.6406262440262,1200.4699872958295,1201.8448179194504,1203.948323723595,1207.3619903152114,1220.663454999097,1227.2766489925873,1241.7468714949694,1247.8482798036277,1257.718329901719,1254.6071719831914,1256.7701207014077,1257.7007942994348,1264.3444755391586,1265.561100348251,1276.317740889057,1282.1438277599807,1286.8497248901008,1292.82636192949,1292.6710891405312,1293.8325287976054,1291.2094225781634,1298.0550455778007,1303.4667752842067,1308.0885570820988,1306.252251124281,1313.5188037273724,1315.7202131699883,1324.5395109445815,1326.9663941990163,1329.9789021158397,1334.0684335137992,1339.3790341760696,1346.9593572793237,1351.9535681054178,1355.931453109459,1359.789952602721,1365.621647603231,1367.577138577539,1368.144149610594,1365.4653061532103,1366.1458732324002,1366.7160365660768,1378.8314616607247,1374.1821876323274,1366.9674349692275,1355.3365063728586,1350.9523396433572,1350.8417815172456,1356.1436283569926,1364.3314714825021,1374.9015091254162,1382.6455050903198,1380.8995224629966,1382.2148047105973,1390.3140491276379,1410.6403661159945,1434.3052204997498,1455.536631258855,1481.3021695919754,1505.6175680643414,1532.4539560296605,1551.6228567109408,1571.438463381254,1592.230227050588,1612.7787199769793,1633.1167542363899,1641.8759177360557,1656.1804196953583,1669.6895131036135,1694.7907628577439,1707.525622581218,1712.7481797562066,1709.6152088933088,1702.7767341991985,1705.368063748605,1708.2479508515742,1714.067139618475,1717.614968739253,1725.3272954342822,1723.1267781692184,1719.134068443044,1707.711713692561,1700.8792243938826,1698.531763501632,1698.7712982463981,1704.1102539476262
